"","ERR.78","ERR.80","ERR.81","ERR.82","ERR.83","ERR.79","ERR.54","ERR.56","ERR.57","ERR.58","ERR.59","ERR.55","ERR.282","ERR.284","ERR.285","ERR.286","ERR.287","ERR.283","ERR.258","ERR.260","ERR.261","ERR.262","ERR.263","ERR.259","ERR.180","ERR.182","ERR.183","ERR.184","ERR.185","ERR.181","ERR.156","ERR.158","ERR.159","ERR.160","ERR.161","ERR.157","ERR.390","ERR.392","ERR.393","ERR.394","ERR.395","ERR.391","ERR.366","ERR.368","ERR.369","ERR.370","ERR.371","ERR.367"
"model","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"n","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200"
"delta","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1"
"combine","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS"
"method","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2"
"T_PE2","0.056","0.19","0.968","1","1","1","0.046","0.128","0.954","1","1","1","0.048","0.466","1","1","1","1","0.042","0.372","1","1","1","1","0.048","0.564","1","1","1","1","0.028","0.544","1","1","1","1","0.046","0.806","1","1","1","1","0.028","0.73","1","1","1","1"
"T_PE3","0.052","0.218","0.966","1","1","1","0.044","0.144","0.956","1","1","1","0.046","0.464","1","1","1","1","0.04","0.368","1","1","1","1","0.048","0.758","1","1","1","1","0.048","0.724","1","1","1","1","0.046","0.832","1","1","1","1","0.048","0.79","1","1","1","1"
"MCL","0.044","0.29","0.992","1","1","1","0.044","0.282","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.034","0.086","0.674","0.992","1","1","0.038","0.07","0.554","0.954","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
