"","GO_term","terms"
"41","0004867",159
"25","0004197",161
"5","0001078",162
"60","0005267",163
"15","0003725",165
"52","0005179",165
"122","0050660",169
"55","0005201",172
"7","0002039",173
"65","0005518",174
"68","0008013",175
"32","0004519",176
"100","0017137",177
"83","0008565",178
"30","0004497",179
"103","0019903",180
"26","0004221",181
"75","0008144",181
"18","0003743",182
"22","0003823",184
"12","0003707",185
"92","0016779",185
"115","0042826",185
"6","0002020",189
"125","0051213",193
"36","0004714",196
"112","0042393",200
"108","0030414",208
"11","0003705",211
"20","0003777",215
"111","0035091",215
"73","0008092",219
"91","0016773",219
"40","0004843",222
"71","0008026",223
"19","0003774",225
"59","0005262",227
"10","0003697",231
"16","0003729",231
"85","0015293",237
"121","0047485",237
"124","0051082",237
"54","0005200",244
"3","0000981",247
"106","0030165",248
"47","0005089",252
"118","0044325",253
"31","0004518",266
"123","0051015",269
"38","0004725",275
"80","0008236",276
"27","0004222",277
"95","0016853",284
"28","0004252",286
"84","0009055",289
"99","0017124",290
"9","0003690",299
"51","0005178",302
"93","0016791",309
"107","0030246",310
"105","0020037",312
"94","0016829",314
"62","0005506",320
"4","0001077",334
"58","0005244",341
"72","0008083",343
"50","0005125",344
"77","0008201",345
"79","0008234",354
"88","0016746",356
"37","0004721",368
"17","0003735",370
"29","0004386",384
"2","0000978",390
"98","0017111",402
"44","0004888",410
"57","0005216",412
"81","0008237",413
"69","0008017",441
"97","0016887",443
"70","0008022",450
"46","0005085",470
"120","0046983",470
"76","0008168",478
"89","0016757",483
"64","0005516",484
"53","0005198",487
"109","0031625",494
"117","0044212",505
"110","0032403",511
"1","0000287",529
"14","0003714",551
"56","0005215",560
"104","0019904",568
"48","0005096",593
"82","0008289",601
"24","0003924",651
"67","0005543",669
"43","0004872",693
"13","0003713",697
"74","0008134",774
"39","0004842",780
"45","0004930",799
"49","0005102",815
"61","0005488",829
"101","0019899",839
"102","0019901",913
"66","0005525",934
"21","0003779",987
"119","0046982",1001
"8","0003682",1014
"96","0016874",1030
"35","0004713",1123
"34","0004674",1148
"78","0008233",1189
"87","0016491",1256
"113","0042802",1381
"116","0043565",1428
"33","0004672",1443
"90","0016772",1460
"42","0004871",1506
"63","0005509",1555
"114","0042803",1574
"23","0003824",1641
"86","0016301",2031
